id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
23804004,The Old Dutch - yourapartment,125651447,Charlie,,Clifton Down,51.46045,-2.6088,Entire home/apt,100,2,5,2019-03-29,0.36,71,302
23818554,The Garden House,178785177,John,,Cotham,51.46556,-2.59152,Entire home/apt,250,2,10,2019-04-28,0.73,2,196
23838003,Double room in friendly Easton in Central Bristol,34423046,Polly,,Lawrence Hill,51.46431,-2.56598,Private room,30,1,12,2019-05-06,1.17,1,65
23852889,"Spacious home sleeps 15 - families, groups, & work",179160256,Jo,,Redland,51.47303,-2.59438,Entire home/apt,179,2,50,2019-05-15,3.56,1,301
23867537,Simplicity,40164577,Arek,,St George Central,51.46641,-2.52538,Private room,19,2,34,2019-02-22,2.53,2,47
23869223,Elegant 2 bedroom flat - parking available,179318220,Pushpa,,Clifton Down,51.46566,-2.61911,Entire home/apt,70,2,21,2019-04-06,1.54,1,163
23872191,Family home in Bristol with relaxing garden,84020831,Chris,,Redland,51.47516,-2.59975,Entire home/apt,140,2,9,2019-04-16,0.74,1,23
23877506,- Cosy spacious room (2) in Avonmouth; double bed.,2401201,Jane,,Avonmouth & Lawrence Weston,51.49957,-2.69676,Private room,20,1,28,2019-05-10,2.16,2,357
23886518,The Terrace - yourapartment,125651447,Charlie,,Central,51.45677,-2.59712,Entire home/apt,70,2,6,2018-08-20,0.43,71,170
23890965,Spacious studio apartment in the heart of the city,178276363,Ellie,,Central,51.46116,-2.59105,Entire home/apt,48,1,31,2019-05-14,2.26,1,3
23900052,Juniper House - Eco Home perfect for big Families,1214989,Lindsay,,Easton,51.46483,-2.55716,Entire home/apt,104,4,8,2018-09-02,0.66,1,0
23910216,The Hippodrome House - Sleek 1BDR Apartment,59436467,Gregg,,Central,51.45335,-2.59777,Entire home/apt,130,2,29,2019-05-05,2.20,3,359
23910629,The Riverside Retreat - Modern 1BDR Apartment,59436467,Gregg,,Hotwells & Harbourside,51.45212,-2.59804,Entire home/apt,150,2,37,2019-05-05,2.97,3,360
23920314,"Super King Size bed in Bishopston, Bristol",1950884,Sonia,,Redland,51.47957,-2.58962,Private room,25,2,0,,,5,18
23940228,Grand Victorian Apartment in Sought-After Clifton,146640302,Martyn,,Clifton Down,51.46267,-2.61555,Entire home/apt,100,2,70,2019-05-11,5.56,1,294
23957242,Spacious Top Floor Flat. Great views of Bristol!,2993326,Will & Khara,,Redland,51.47038,-2.60551,Entire home/apt,80,2,13,2018-08-25,0.98,1,41
23978546,1BR Apartement - City Center,51497948,Eugeniu,,Lawrence Hill,51.45655,-2.58217,Entire home/apt,56,5,1,2018-05-12,0.08,1,0
23982376,"Room at BS4 “Mi Casa”.
Please, READ DESCRIPTION.",129519311,Melany,,Knowle,51.43567,-2.56268,Private room,20,1,22,2019-05-10,1.76,1,92
23984560,"Very central, light, bright house in quiet street",60382199,Pella,,Cotham,51.46272,-2.59845,Entire home/apt,55,2,3,2018-05-28,0.24,1,0
24003566,Beautiful Terraced Home - Bristol.,179742462,Vernon,,Brislington West,51.43628,-2.55278,Entire home/apt,40,2,1,2018-07-11,0.10,1,288
24006240,Modern & Stylish Eco Home+Garden  with city views,13999051,Clementine,,Ashley,51.46865,-2.58075,Entire home/apt,150,2,20,2019-04-22,1.71,1,9
24008889,Single Room 3 -  accommodation in Avonmouth,2401201,Jane,,Avonmouth & Lawrence Weston,51.4999,-2.69663,Private room,23,1,26,2019-05-02,1.94,2,357
24017961,Beautiful spacious double room in Bedminster,48275528,Rachael,,Bedminster,51.43548,-2.60936,Private room,35,2,9,2018-09-30,0.80,2,0
24018580,Spacious Apt with central location & Queen Bed,32862540,Patrycja,,Central,51.45569,-2.59219,Entire home/apt,150,1,38,2019-05-04,2.76,11,191
24025292,The Bungalow - a lovely and sunny house in Easton.,26353139,Charlie,,Easton,51.45904,-2.55936,Entire home/apt,68,2,55,2019-05-06,4.05,1,16
24035031,"Modern, stylish, detached courtyard house-Glos Rd",10078672,Will,,Bishopston & Ashley Down,51.4759,-2.58961,Entire home/apt,81,1,49,2019-05-13,3.89,1,144
24052142,"Cosy, colourful apartment near North Street",25469794,Edward,,Southville,51.44527,-2.61576,Private room,29,1,30,2019-05-12,2.61,1,11
24055957,"Charming Cosy Coach House in Fishponds, Bristol",148942528,Paul,,Hillfields,51.46821,-2.51567,Entire home/apt,40,2,15,2019-04-10,1.15,1,103
24061632,Impressive  bedroom in a Victorian property,30888926,Eva,,Cotham,51.46627,-2.60225,Private room,160,2,1,2018-06-29,0.09,1,335
24074165,Beautiful and Quirky 3 Bedroom Home - Sleeps 6,11631248,Esther,,Southville,51.4406,-2.60863,Entire home/apt,135,2,4,2018-06-03,0.32,1,0
24092581,Stokes Croft Hideaway,134817141,Demetrios,,Ashley,51.46251,-2.58755,Entire home/apt,75,1,41,2019-04-28,3.44,2,302
24097143,Wonderful Home in Popular Bristol Neighbourhood,53322624,Helen,,Hotwells & Harbourside,51.44676,-2.6075,Entire home/apt,78,2,5,2018-11-11,0.72,1,0
